years,cif_built,cif_withdrawn,naive_km_built,at_risk
4.528405201916495,0.09780391428788708,0.6049953872877888,0.1768104549941094,3837
4.531143052703627,0.09780391428788708,0.6053056986408812,0.1768104549941094,3831
4.5338809034907595,0.09788149212616021,0.6053056986408812,0.1770255554762118,3827
4.5366187542778915,0.09811422564097957,0.6056160099939737,0.17767085692251905,3826
4.539356605065024,0.0981918034792527,0.6057711656705199,0.17788618269970613,3819
4.542094455852156,0.09826944235437733,0.6061593600461431,0.17810179083432465,3813
4.544832306639288,0.09826944235437733,0.6063146785945401,0.17810179083432465,3806
4.547570157426421,0.09834710162857582,0.6063923378687386,0.17831785240350595,3804
4.550308008213553,0.09842476090277431,0.6065476564171356,0.17853397080108524,3802
4.553045859000685,0.0985024201769728,0.606625315691334,0.17875020297513078,3799
4.555783709787817,0.0985024201769728,0.6067029749655325,0.17875020297513078,3797
4.558521560574949,0.09889071654796529,0.6067806342397309,0.17983193347700765,3796
4.561259411362081,0.09889071654796529,0.6069359937800911,0.17983193347700765,3789
4.563997262149213,0.09896839631814536,0.6071690330906313,0.18004850809188033,3787
4.566735112936345,0.09912375585850551,0.6073243926309915,0.1804820008182394,3783
4.569472963723477,0.09912375585850551,0.6077129971471558,0.1804820008182394,3777
4.574948665297741,0.09920147676173836,0.6077907180503886,0.1806992643387012,3772
4.577686516084873,0.09920147676173836,0.6079461598568544,0.1806992643387012,3770
4.5804243668720055,0.09935700111828717,0.608257208569952,0.18113436828753893,3766
4.583162217659138,0.09951256684870045,0.6085683400307785,0.181570050985976,3759
4.58590006844627,0.0995903497139071,0.6086461228959852,0.18178812451355764,3753
4.588637919233402,0.0995903497139071,0.6087239887960092,0.18178812451355764,3747
4.591375770020534,0.09966821561393115,0.6087239887960092,0.18200654733135968,3746
4.594113620807666,0.09990181331400329,0.6088797205960573,0.1826618157847658,3745
4.596851471594798,0.09990181331400329,0.6091133807721124,0.1826618157847658,3739
4.59958932238193,0.09997970003935497,0.6092691542228158,0.1828805893886778,3736
4.602327173169062,0.10013547349005833,0.6093470409481675,0.1833183710177222,3733
4.605065023956194,0.10036925902028508,0.6093470409481675,0.18397557189941394,3728
4.607802874743326,0.10036925902028508,0.6094249903842662,0.18397557189941394,3724
4.610540725530458,0.10044720845638377,0.609502939820365,0.184194756543008,3723
4.61327857631759,0.10044720845638377,0.6095808892564637,0.184194756543008,3721
4.616016427104722,0.10060310732858117,0.6097367881286611,0.18463336151260845,3720
