region,years,cif_built,cif_withdrawn
CAISO,0.5612594113620808,0.0007958615200955033,0.1532033426183846
CAISO,0.5639972621492129,0.0007958615200955033,0.15439713489852788
CAISO,0.5694729637234771,0.0007958615200955033,0.15519299641862339
CAISO,0.5722108145106092,0.0007958615200955033,0.15559092717867115
CAISO,0.5749486652977412,0.0007958615200955033,0.15718265021886216
CAISO,0.5859000684462696,0.0007958615200955033,0.15877437325905316
CAISO,0.5913757700205339,0.0007958615200955033,0.15917230401910093
CAISO,0.5995893223819302,0.0007958615200955033,0.1595702347791487
CAISO,0.6050650239561944,0.0007958615200955033,0.15996816553919646
CAISO,0.6078028747433265,0.0007958615200955033,0.16076402705929196
CAISO,0.621492128678987,0.0007958615200955033,0.16155988857938747
CAISO,0.6242299794661191,0.0007958615200955033,0.16195781933943523
CAISO,0.6297056810403833,0.0007958615200955033,0.162355750099483
CAISO,0.6324435318275154,0.0007958615200955033,0.16275368085953076
CAISO,0.6351813826146475,0.0007958615200955033,0.16315161161957853
CAISO,0.648870636550308,0.0007958615200955033,0.1635495423796263
CAISO,0.6516084873374401,0.0011937922801432549,0.16394747313967406
CAISO,0.6543463381245722,0.0011937922801432549,0.16434540389972183
CAISO,0.6570841889117043,0.0011937922801432549,0.1663350576999606
CAISO,0.6652977412731006,0.0011937922801432549,0.16673298846000836
CAISO,0.6680355920602327,0.0015917230401910065,0.16673298846000836
CAISO,0.6926762491444216,0.001989653800238758,0.16713091922005613
CAISO,0.6954140999315537,0.001989653800238758,0.1675288499801039
CAISO,0.7063655030800822,0.001989653800238758,0.16792678074015166
CAISO,0.7145790554414785,0.001989653800238758,0.16832471150019943
CAISO,0.7173169062286106,0.001989653800238758,0.1695185037803427
CAISO,0.7227926078028748,0.001989653800238758,0.16991643454039046
CAISO,0.7255304585900069,0.001989653800238758,0.17031436530043823
CAISO,0.7282683093771389,0.001989653800238758,0.172304019100677
CAISO,0.731006160164271,0.001989653800238758,0.17270194986072476
CAISO,0.7337440109514032,0.001989653800238758,0.17349781138082027
CAISO,0.7392197125256673,0.001989653800238758,0.17429367290091577
CAISO,0.7419575633127995,0.001989653800238758,0.17548746518105904
CAISO,0.7446954140999316,0.001989653800238758,0.17867091126144105
CAISO,0.7474332648870636,0.001989653800238758,0.18066056506167982
CAISO,0.7529089664613279,0.001989653800238758,0.1818543573418231
CAISO,0.758384668035592,0.001989653800238758,0.18225228810187086
CAISO,0.7638603696098563,0.001989653800238758,0.18384401114206186
CAISO,0.7693360711841205,0.001989653800238758,0.18503780342220513
CAISO,0.7748117727583846,0.001989653800238758,0.1854357341822529
CAISO,0.7802874743326489,0.001989653800238758,0.18583366494230066
CAISO,0.783025325119781,0.001989653800238758,0.18702745722244393
